Price Limit,Side,Volume
224,BUY,74040
20,BUY,383
403,BUY,207002
195,BUY,47331
324,BUY,194832
383,BUY,229551
373,BUY,223807
137,BUY,12964
258,BUY,113801
28,BUY,714
411,BUY,183166
424,BUY,177166
247,BUY,94881
360,BUY,215700
232,BUY,81183
375,BUY,214167
40,BUY,1758
439,BUY,172426
334,BUY,186008
213,BUY,58709
430,BUY,185467
337,BUY,201102
248,BUY,94831
421,BUY,188870
299,BUY,155167
236,BUY,85673
36,BUY,2
419,BUY,188068
38,BUY,794
429,BUY,172835
402,BUY,202797
175,BUY,28897
288,BUY,140788
221,BUY,58431
342,BUY,210441
390,BUY,207031
237,BUY,86913
358,BUY,216700
2,BUY,151
393,BUY,207006
417,BUY,192071
339,BUY,210035
62,BUY,1121
389,BUY,224225
426,BUY,178724
428,BUY,191925
201,BUY,37427
322,BUY,188493
235,BUY,73461
364,BUY,209911
182,BUY,33204
219,BUY,70855
348,BUY,204579
185,BUY,39847
306,BUY,170295
359,BUY,214180
159,BUY,19491
272,BUY,130990
32,BUY,878
431,BUY,166966
366,BUY,200930
245,BUY,82135
233,BUY,74683
354,BUY,204205
279,BUY,132290
399,BUY,215110
209,BUY,60198
330,BUY,184430
371,BUY,213718
321,BUY,186132
369,BUY,212159
227,BUY,80724
356,BUY,206901
249,BUY,87342
370,BUY,216708
361,BUY,203320
414,BUY,207612
16,BUY,158
415,BUY,186622
4,BUY,113
387,BUY,204179
327,BUY,176994
315,BUY,166809
503,BUY,32
104,BUY,5254
436,BUY,149230
10,BUY,111
401,BUY,198587
143,BUY,14098
256,BUY,86415
297,BUY,155233
60,BUY,661
443,BUY,179898
285,BUY,149808
392,BUY,193211
450,BUY,160605
357,BUY,203538
368,BUY,207519
255,BUY,95784
442,BUY,164249
329,BUY,193103
400,BUY,203307
304,BUY,160073
191,BUY,31705
277,BUY,124666
207,BUY,62511
320,BUY,176505
197,BUY,43188
382,BUY,201808
203,BUY,54905
332,BUY,202052
198,BUY,40364
165,BUY,17910
335,BUY,193354
171,BUY,30268
300,BUY,156210
44,BUY,506
427,BUY,167864
319,BUY,177692
173,BUY,21996
294,BUY,157786
388,BUY,202056
345,BUY,196999
259,BUY,115952
56,BUY,437
391,BUY,201054
350,BUY,204178
189,BUY,37286
310,BUY,183562
275,BUY,121362
58,BUY,413
385,BUY,216393
177,BUY,26362
298,BUY,158898
347,BUY,205915
190,BUY,33536
229,BUY,73989
286,BUY,138379
381,BUY,199099
309,BUY,185681
301,BUY,166753
246,BUY,96657
372,BUY,211224
243,BUY,87806
394,BUY,199783
406,BUY,200191
155,BUY,22243
284,BUY,142196
206,BUY,55659
187,BUY,40362
316,BUY,181821
355,BUY,204761
141,BUY,16432
262,BUY,108314
68,BUY,3072
451,BUY,154222
416,BUY,192681
374,BUY,215382
253,BUY,105970
263,BUY,118571
220,BUY,67622
412,BUY,203313
434,BUY,172408
18,BUY,954
409,BUY,194776
313,BUY,162739
331,BUY,196215
261,BUY,107866
423,BUY,188983
446,BUY,161631
269,BUY,136557
184,BUY,35154
144,BUY,12406
367,BUY,198775
157,BUY,18944
